,Name,NCode,Series,SCode,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,id_Name,id_Rating
10,Angola,AGO,"School enrollment, secondary (% gross)",SE.SEC.ENRR, 6.34 , 7.06 , .. , .. , .. , .. , 8.11 , .. , 10.68 , 13.77 , 9.69 , 8.71 , 10.66 , 8.99 , 10.13 , 9.75 , 8.18 , 9.06 , 8.40 , 8.93 , 10.10 , .. , .. , .. , .. , .. , 10.82 , 10.75 , 12.27 , 13.85 , 14.98 , .. , .. , .. , .. , .. , 21.29 , 22.69 , 26.26 , 26.48 , .. , .. , .. , .. , 50.67 , .. , .. , .. , .. , .. ,70.0,2
11,Angola,AGO,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 8.40 , 8.14 , 10.68 , 6.15 , 5.12 , 8.15 , 12.14 , 18.43 , 19.23 , 41.42 , 27.05 , 20.93 , 33.12 , 16.96 , 15.31 , 13.63 , 10.75 , 13.22 , 9.92 , 2.53 , 9.70 , 5.74 , 5.75 , 8.39 , 8.34 , 13.54 , 24.98 , 38.31 , 25.62 , 26.40 , 33.15 , 39.62 , 33.35 ,70.0,2
12,Angola,AGO,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 9.69 ,-4.15 , 13.10 , 18.24 ,-5.62 ,-19.95 , 31.17 , 13.71 , 18.72 , 13.89 , 9.97 , 11.89 , 25.50 , 52.74 ,-13.55 ,-26.81 , 6.15 ,-26.35 , .. ,70.0,2
13,Angola,AGO,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 2.58 ,-4.28 , 5.53 ,-5.35 ,-1.29 ,-2.10 ,-5.47 ,-8.84 ,-11.59 ,-7.66 ,-5.33 , 43.40 ,-11.55 ,-28.70 ,-27.80 , 8.72 ,-16.01 ,-0.98 ,-4.04 , 2.89 , 13.90 , 20.41 , 16.21 , 8.13 ,-10.77 , 9.19 , 11.96 , 11.07 , 6.11 ,-2.73 ,-11.78 ,-6.19 ,-0.92 , 9.52 , 7.41 , 1.63 , 12.46 ,70.0,2
14,Angola,AGO,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",DT.TDS.DPPF.XP.ZS, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 7.63 , 7.07 , 9.23 , 4.79 , 2.93 , 6.42 , 10.77 , 17.52 , 18.35 , 40.20 , 26.21 , 20.62 , 32.79 , 16.74 , 15.25 , 13.57 , 10.52 , 12.98 , 9.66 , 2.44 , 8.50 , 4.45 , 4.13 , 6.02 , 7.45 , 12.43 , 20.03 , 33.25 , 22.92 , 22.26 , 30.99 , 32.43 , 26.28 ,70.0,2
15,Angola,AGO,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. ," 241,320,178.70 "," 282,814,344.90 "," 335,520,412.60 "," 191,267,718.40 "," 88,548,945.30 "," 204,132,717.80 "," 414,832,491.60 "," 947,223,887.70 "," 964,534,498.90 "," 1,487,007,553.40 "," 1,383,536,131.20 "," 1,679,565,380.70 "," 2,208,991,179.10 "," 1,424,848,885.40 "," 1,476,277,082.30 "," 1,867,698,095.10 "," 2,545,708,455.80 "," 4,329,212,396.30 "," 4,362,663,227.60 "," 1,576,610,560.30 "," 3,531,791,660.90 "," 2,289,701,493.70 "," 2,801,776,447.30 "," 4,324,730,859.40 "," 4,967,718,567.60 "," 7,131,824,194.00 "," 6,580,590,772.40 "," 9,398,405,253.00 "," 8,184,151,395.80 "," 9,312,681,448.30 "," 11,093,330,834.80 "," 6,962,602,255.50 "," 8,881,146,408.40 ",70.0,2
16,Angola,AGO,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. ," 265,880,178.70 "," 325,934,344.90 "," 388,320,412.60 "," 245,467,718.40 "," 154,548,945.30 "," 259,132,717.80 "," 467,577,491.60 "," 996,248,887.70 "," 1,010,884,498.90 "," 1,532,043,553.40 "," 1,442,655,895.20 "," 1,720,893,709.40 "," 2,239,066,883.90 "," 1,450,100,926.40 "," 1,488,737,668.40 "," 1,885,180,263.90 "," 2,614,479,250.70 "," 4,429,036,868.60 "," 4,495,341,012.80 "," 1,634,736,351.40 "," 4,031,638,044.50 "," 2,961,607,175.20 "," 3,921,535,532.40 "," 6,055,007,325.40 "," 5,868,273,621.80 "," 8,328,257,346.10 "," 8,644,239,960.20 "," 10,972,713,279.80 "," 9,180,831,554.00 "," 11,046,328,784.10 "," 11,891,218,931.90 "," 8,533,498,747.90 "," 11,348,241,696.30 ",70.0,2
17,Angola,AGO,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. ,-1.30 , 10.61 , 22.93 , 14.29 , 16.56 , 10.62 ,-2.65 ,-2.38 ,-5.12 , 5.20 ,-1.17 , 0.70 ,-14.69 ,-18.40 , 24.54 ,-7.61 ,-17.42 ,-6.70 , 10.42 ,70.0,2
18,Angola,AGO,Exports of goods and services (current US$),NE.EXP.GNFS.CD, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. ," 8,187,952,996.90 "," 6,736,804,052.06 "," 8,725,781,181.80 "," 9,676,099,739.57 "," 13,749,769,575.32 "," 24,225,663,183.76 "," 33,245,105,956.22 "," 44,319,695,565.28 "," 64,168,383,679.80 "," 41,310,593,206.45 "," 50,280,434,505.88 "," 66,395,107,686.34 "," 69,924,162,329.63 "," 67,697,415,578.91 "," 61,341,442,498.86 "," 25,951,752,164.81 "," 14,017,381,688.21 "," 20,004,932,389.84 "," 31,767,752,271.84 "," 28,271,709,349.17 "," 19,110,949,393.41 "," 29,843,731,084.83 ",70.0,2
19,Angola,AGO,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 26.82 , 0.44 , 8.87 , 4.74 , 13.18 , 24.46 , 32.31 , 27.75 , 23.59 ,-4.93 , 18.96 , 21.36 , 20.08 , 14.68 , 10.06 ,-3.38 , 2.88 , 5.75 , 15.29 , 23.75 , 19.40 , 28.08 ,70.0,2
20,Angola,AGO,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 72.69 , 85.69 , 84.88 , 287.57 , 326.52 , 581.12 , 241.06 , 180.90 , 147.81 , 194.75 , 223.25 , 131.08 , 119.01 , 66.80 , 56.66 , 46.52 , 37.15 , 21.44 , 20.71 , 20.84 , 31.94 , 36.30 , 34.70 , 32.37 , 35.84 , 36.40 , 60.13 , 123.72 , 92.31 , 88.88 , 102.75 , 137.52 , 100.66 ,70.0,2
21,Angola,AGO,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. ," 6,676,170,079.90 "," 7,603,459,882.70 "," 7,702,671,839.40 "," 8,130,429,817.50 "," 8,691,068,178.90 "," 9,122,081,832.60 "," 9,544,234,897.90 "," 9,377,299,505.70 "," 8,681,585,483.10 "," 9,099,557,192.70 "," 8,713,044,776.20 "," 8,084,844,148.00 "," 6,982,714,292.10 "," 7,540,350,651.90 "," 7,634,470,053.70 "," 8,180,879,840.00 "," 9,532,119,023.40 "," 7,361,981,528.70 "," 9,240,475,948.20 "," 12,784,883,279.60 "," 16,897,661,332.20 "," 20,925,636,702.20 "," 27,011,965,146.90 "," 26,729,517,680.40 "," 31,530,688,364.40 "," 38,354,646,308.50 "," 43,198,195,899.50 "," 53,647,438,286.40 "," 55,661,540,355.00 "," 59,596,245,744.10 "," 59,651,704,524.50 "," 58,160,145,736.30 "," 55,280,793,876.50 ",70.0,2
22,Angola,AGO,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. ," 3,158,155,000.00 "," 5,263,592,000.00 "," 8,772,654,000.00 "," 5,782,766,000.00 "," 5,375,902,000.00 "," 4,848,215,000.00 "," 9,337,097,000.00 "," 11,604,367,000.00 "," 12,740,755,000.00 "," 11,501,583,000.00 "," 12,035,553,000.00 "," 10,774,129,000.00 "," 8,541,276,000.00 ",70.0,2
23,Angola,AGO,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. ," 6,676,170,079.90 "," 7,603,459,882.70 "," 7,702,671,839.40 "," 8,130,429,817.50 "," 8,691,068,178.90 "," 9,122,081,832.60 "," 9,544,234,897.90 "," 9,377,299,505.70 "," 8,681,585,483.10 "," 9,099,557,192.70 "," 8,713,044,776.20 "," 8,084,844,148.00 "," 6,982,714,292.10 "," 7,540,350,651.90 "," 7,634,470,053.70 "," 8,180,879,840.00 "," 9,532,119,023.40 "," 7,361,981,528.70 "," 9,240,475,948.20 "," 12,784,883,279.60 "," 13,739,506,332.20 "," 15,662,044,702.20 "," 18,239,311,146.90 "," 20,946,751,680.40 "," 26,154,786,364.40 "," 33,506,431,308.50 "," 33,861,098,899.50 "," 42,043,071,286.40 "," 42,920,785,355.00 "," 48,094,662,744.10 "," 47,616,151,524.50 "," 47,386,016,736.30 "," 46,739,517,876.50 ",70.0,2
24,Angola,AGO,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. ," 612,607,986.40 "," 988,436,108.40 "," 1,297,672,619.40 "," 1,928,777,993.20 "," 1,880,316,458.90 "," 2,170,673,955.30 "," 1,957,808,164.20 "," 1,168,519,201.90 "," 1,266,688,669.90 "," 1,684,519,067.00 "," 1,585,490,036.80 "," 1,322,915,747.50 "," 1,451,104,782.30 "," 1,207,525,379.60 "," 1,074,445,507.70 "," 1,196,323,951.40 "," 2,316,049,837.90 "," 2,132,485,280.10 "," 2,269,905,861.50 "," 2,390,637,402.70 "," 2,592,563,310.20 "," 4,567,673,350.00 "," 6,061,667,120.60 "," 8,696,153,334.40 "," 11,341,475,129.10 "," 7,659,997,207.30 "," 6,050,528,839.70 "," 4,403,910,065.60 "," 3,708,136,673.40 "," 2,831,731,180.00 "," 3,263,005,515.40 "," 6,376,640,275.10 "," 6,123,952,020.60 ",70.0,2
25,Angola,AGO,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. ,"-278,000,000.00 ","-234,000,000.00 ","-119,000,000.00 ","-131,000,000.00 ","-200,000,000.00 "," 335,700,000.00 ","-664,500,000.00 ","-287,956,000.00 ","-302,100,000.00 ","-170,300,000.00 ","-472,427,000.00 ","-180,559,000.00 ","-411,660,000.00 ","-1,113,970,000.00 ","-2,471,460,000.00 ","-878,620,000.00 ","-2,145,470,000.00 ","-1,643,393,000.00 ","-3,481,071,780.00 ","-1,413,991,820.00 "," 1,523,198,987.12 "," 228,299,945.92 "," 1,805,123,607.46 "," 890,672,963.88 ","-2,198,545,055.42 "," 4,567,640,566.41 "," 5,116,413,413.76 "," 2,351,103,731.50 "," 8,041,583,616.63 ","-2,770,722,210.79 ","-10,813,085,379.27 "," 452,522,618.92 "," 8,749,300,466.09 "," 6,461,790,580.61 "," 1,749,052,912.30 "," 1,956,982,582.07 "," 3,297,745,964.37 ",70.0,2
26,Angola,AGO,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS, .. , .. , .. , .. , .. , .. , .. , .. , 0.63 , 0.88 , 2.09 , 1.80 , 1.10 , 3.68 , 3.31 , 1.47 , 1.49 , 1.96 ,-2.98 , 6.27 , 3.47 , 5.24 , 3.84 , 8.53 , 2.40 , 5.38 , 17.12 , 40.17 , 9.62 , 24.01 , 11.41 , 20.08 , 9.33 ,-3.53 ,-0.07 ,-1.37 , 1.90 , 3.14 ,-3.95 ,-2.76 ,-1.17 ,-5.34 , 2.66 , 11.50 ,-0.36 ,-10.72 ,-8.30 ,-5.91 ,-3.48 ,-6.46 ,70.0,2
27,Angola,AGO,"IMF repurchases and charges (TDS, current US$)",DT.TDS.DIMF.CD, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. ," 14,409,764.00 "," 15,628,328.70 "," 7,750,704.80 "," 6,752,041.00 "," 5,995,586.10 "," 8,982,168.80 "," 12,220,794.90 "," 16,349,472.30 "," 14,293,785.20 "," 3,538,791.10 "," 984,383.60 "," 6,980,681.50 "," 15,405,085.10 "," 14,278,466.00 "," 274,997,054.20 "," 510,508,152.10 "," 349,732,187.80 "," 125,810,026.80 "," 30,099,158.20 "," 365,335.80 "," 23,588,097.10 "," 22,928,492.40 "," 60,813,287.90 ",70.0,2
28,Angola,AGO,Income share held by fourth 20%,SI.DST.04TH.20, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 20.20 , .. , .. , .. , .. , .. , .. , .. , 21.90 , .. , .. , .. , .. , .. , .. , .. , .. , .. , 20.40 , .. , .. , .. ,70.0,2
29,Angola,AGO,Income share held by highest 20%,SI.DST.05TH.20, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 56.10 , .. , .. , .. , .. , .. , .. , .. , 48.50 , .. , .. , .. , .. , .. , .. , .. , .. , .. , 55.60 , .. , .. , .. ,70.0,2
30,Angola,AGO,Income share held by third 20%,SI.DST.03RD.20, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 12.70 , .. , .. , .. , .. , .. , .. , .. , 14.50 , .. , .. , .. , .. , .. , .. , .. , .. , .. , 12.60 , .. , .. , .. ,70.0,2
31,Angola,AGO,Income share held by highest 10%,SI.DST.10TH.10, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 40.20 , .. , .. , .. , .. , .. , .. , .. , 32.30 , .. , .. , .. , .. , .. , .. , .. , .. , .. , 39.60 , .. , .. , .. ,70.0,2
32,Angola,AGO,Income share held by lowest 10%,SI.DST.FRST.10, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 1.00 , .. , .. , .. , .. , .. , .. , .. , 2.10 , .. , .. , .. , .. , .. , .. , .. , .. , .. , 1.30 , .. , .. , .. ,70.0,2
33,Angola,AGO,Income share held by second 20%,SI.DST.02ND.20, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 7.80 , .. , .. , .. , .. , .. , .. , .. , 9.60 , .. , .. , .. , .. , .. , .. , .. , .. , .. , 7.70 , .. , .. , .. ,70.0,2
34,Angola,AGO,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 9.10 , .. , .. , .. , .. , .. , .. , .. , 4.10 , .. , .. , .. , .. , .. , .. , .. , .. , .. , 11.90 , .. , .. , .. ,70.0,2
35,Angola,AGO,Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 35.10 , .. , .. , .. , .. , .. , .. , .. , 32.80 , .. , .. , .. , .. , .. , .. , .. , .. , .. , 44.50 , .. , .. , .. ,70.0,2
36,Angola,AGO,Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 17.70 , .. , .. , .. , .. , .. , .. , .. , 13.20 , .. , .. , .. , .. , .. , .. , .. , .. , .. , 24.50 , .. , .. , .. ,70.0,2
37,Angola,AGO,Present value of external debt (current US$),DT.DOD.PVLX.CD, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. ," 44,780,773,294.30 ",70.0,2
38,Angola,AGO,Short-term debt (% of total external debt),DT.DOD.DSTC.ZS, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 8.40 , 11.50 , 14.42 , 19.17 , 17.79 , 19.22 , 17.02 , 11.08 , 12.73 , 15.62 , 14.85 , 13.55 , 16.53 , 13.24 , 11.79 , 12.21 , 18.92 , 21.53 , 19.01 , 15.33 , 12.79 , 17.05 , 17.48 , 23.40 , 25.57 , 16.32 , 12.15 , 7.53 , 6.21 , 4.44 , 5.04 , 9.44 , 9.10 ,70.0,2
39,Angola,AGO,"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. ," 374,707,057.40 "," 355,705,668.90 "," 343,098,130.60 "," 371,160,687.20 "," 405,682,628.00 "," 423,985,126.30 "," 390,203,038.90 "," 410,714,177.00 "," 431,421,881.20 "," 420,506,996.40 "," 787,056,610.50 "," 1,302,262,652.30 "," 1,605,921,015.90 "," 1,739,652,880.50 "," 1,478,597,285.60 "," 914,027,909.70 "," 532,051,255.40 "," 395,881,505.20 "," 388,801,462.90 "," 1,374,114,587.40 "," 1,861,295,679.90 "," 2,992,458,754.30 "," 5,872,361,240.80 ",70.0,2
40,Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS, 7.20 , 7.61 , 6.90 , 5.82 , 9.18 , 9.62 , 8.61 , 6.51 , 5.06 , 6.92 , 9.09 , 9.15 , 7.59 , 11.74 , 8.16 , 7.87 , 9.53 , 13.06 , 10.36 , 7.68 , 6.60 , 6.91 , 7.53 , 9.68 , 10.43 , 10.56 , 10.42 , 9.83 , 10.99 , 11.58 , 28.38 , 25.93 , 23.85 , 23.25 , 23.03 , 22.66 , 22.06 , 19.56 , 18.93 , 18.45 , 16.24 , 14.62 , 14.41 , 10.71 , 12.53 , 11.32 , 14.44 , 17.92 , 16.61 , 18.03 ,28.0,3
