Country Name,Country Code,Series Name,Series Code,1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Argentina,ARG,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",DT.TDS.DPPF.XP.ZS, .. , .. , .. , .. , 20.93 , 17.96 , 33.91 , 15.02 , 18.44 , 18.41 , 24.00 , 25.77 , 38.04 , 43.84 , 66.63 , 65.30 , 39.96 , 31.43 , 34.89 , 31.02 , 24.25 , 26.69 , 18.50 , 20.50 , 23.41 , 27.65 , 28.16 , 37.50 , 40.29 , 31.81 , 15.60 , 34.96 , 19.90 , 14.21 , 23.08 , 6.91 , 6.74 , 10.92 , 10.42 , 7.76 , 6.32 , 8.06 , 11.98 , 15.91 , 23.81 , 38.70 , 32.30 , 34.11 , 17.52 , 12.12 
Argentina,ARG,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD," 487,413,787.20 "," 678,452,864.90 "," 810,832,252.60 "," 806,543,586.50 "," 889,630,565.40 "," 1,062,465,123.00 "," 2,138,295,836.90 "," 1,489,840,750.20 "," 2,065,779,181.20 "," 2,173,698,889.50 "," 2,341,053,608.30 "," 2,466,844,770.90 "," 2,601,223,907.00 "," 4,287,866,477.80 "," 4,726,480,553.40 "," 4,645,376,194.00 "," 3,778,673,673.50 "," 2,792,957,639.10 "," 4,835,574,393.20 "," 3,776,348,514.60 "," 3,230,342,128.00 "," 4,447,111,158.50 "," 3,613,640,783.90 "," 5,253,002,651.80 "," 6,995,043,002.20 "," 9,335,375,521.90 "," 9,608,478,923.60 "," 11,740,160,459.70 "," 14,081,205,317.30 "," 9,994,574,595.30 "," 3,577,304,413.70 "," 6,833,401,361.20 "," 2,583,475,133.60 "," 3,178,284,455.90 "," 4,004,566,750.80 "," 5,011,131,954.00 "," 5,873,587,091.30 "," 7,623,385,200.50 "," 8,734,949,204.20 "," 7,820,481,977.80 "," 6,104,249,742.20 "," 7,417,613,253.70 "," 10,108,412,452.80 "," 11,510,933,755.50 "," 17,667,247,820.30 "," 30,254,108,650.60 "," 26,782,796,259.90 "," 28,179,537,886.10 "," 10,684,151,070.10 "," 5,762,350,016.70 "
Argentina,ARG,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD," 1,140,313,787.20 "," 1,389,252,864.90 "," 1,663,056,502.60 "," 1,620,914,086.50 "," 1,637,161,445.40 "," 1,871,720,429.80 "," 3,333,144,093.80 "," 2,281,740,750.20 "," 4,260,979,181.20 "," 5,411,998,889.50 "," 4,894,453,608.30 "," 6,824,734,770.90 "," 6,303,568,135.60 "," 6,231,161,855.80 "," 7,349,851,839.40 "," 6,265,276,902.60 "," 5,055,488,201.30 "," 4,386,859,950.10 "," 6,184,791,273.60 "," 5,449,279,126.80 "," 4,914,055,247.00 "," 5,872,301,888.90 "," 5,783,538,649.10 "," 8,889,250,255.50 "," 12,963,794,087.00 "," 16,119,704,830.60 "," 19,369,186,342.60 "," 25,310,657,084.80 "," 24,849,687,713.50 "," 18,084,634,014.40 "," 5,326,706,918.30 "," 14,336,213,571.30 "," 12,902,482,290.00 "," 10,099,804,137.20 "," 18,973,957,937.00 "," 8,810,729,117.30 "," 9,593,489,172.50 "," 14,792,600,832.40 "," 15,638,962,665.10 "," 15,788,530,471.20 "," 13,586,606,977.80 "," 15,772,427,855.20 "," 17,022,961,280.90 "," 17,902,687,669.60 "," 25,920,010,650.20 "," 40,445,152,523.00 "," 43,001,851,186.30 "," 43,865,206,118.00 "," 29,410,909,701.90 "," 25,916,580,578.30 "
Argentina,ARG,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG, 2.03 , 13.98 , 0.24 ,-9.29 , 31.52 , 27.32 , 8.91 ,-3.20 ,-5.14 , 5.20 , 3.95 , 2.58 ,-2.59 , 15.55 ,-10.27 ,-3.48 , 18.72 , 7.43 , 18.01 ,-3.62 ,-1.03 , 3.98 , 15.30 , 22.53 , 7.65 , 12.18 , 10.62 ,-1.26 , 2.70 , 2.74 , 3.09 , 6.00 , 8.11 , 12.89 , 5.56 , 8.16 , 0.74 ,-9.35 , 13.90 , 4.15 ,-4.11 ,-3.52 ,-6.98 ,-2.78 , 5.32 , 2.62 , 0.65 , 9.75 ,-17.71 , 9.22 
Argentina,ARG,Exports of goods and services (current US$),NE.EXP.GNFS.CD," 2,500,000,047.49 "," 4,000,000,136.32 "," 4,999,999,839.57 "," 3,054,054,017.49 "," 4,695,000,304.43 "," 5,459,999,880.58 "," 4,999,999,950.31 "," 4,508,960,596.80 "," 3,895,791,554.63 "," 5,445,263,189.73 "," 7,663,966,255.63 "," 9,515,669,466.75 "," 6,003,000,151.65 "," 10,376,666,928.80 "," 9,054,444,307.18 "," 8,747,619,117.06 "," 12,029,545,360.59 "," 10,007,559,520.44 "," 14,643,450,361.40 "," 14,561,091,033.04 "," 15,095,901,877.65 "," 16,357,317,317.32 "," 19,385,100,000.00 "," 24,978,532,000.00 "," 28,381,400,000.00 "," 30,928,400,000.00 "," 31,137,200,000.00 "," 27,862,300,000.00 "," 31,223,690,400.00 "," 31,112,418,400.00 "," 27,736,610,298.26 "," 33,084,505,277.81 "," 39,266,996,605.80 "," 46,198,180,131.00 "," 53,550,250,227.39 "," 65,162,321,195.03 "," 79,762,958,392.30 "," 65,133,480,388.49 "," 80,208,867,995.72 "," 97,810,932,629.38 "," 88,655,850,853.77 "," 80,690,471,898.44 "," 75,818,867,911.08 "," 63,671,789,068.90 "," 69,842,486,095.87 "," 72,860,588,696.29 "," 75,766,577,038.62 "," 80,259,469,133.65 "," 64,041,594,762.91 "," 87,867,694,033.21 "
Argentina,ARG,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS, 0.36 , 1.90 , 0.61 ,-0.15 , 3.25 , 2.29 , 2.89 , 0.18 ,-1.42 ,-0.45 , 2.57 , 3.32 , 2.83 , 5.46 , 1.84 , 0.30 , 3.32 , 6.48 , 5.73 , 1.60 ,-1.53 ,-2.40 ,-3.07 ,-0.41 ,-0.65 ,-2.21 ,-2.52 ,-1.73 ,-0.65 , 1.31 , 15.01 , 11.22 , 7.00 , 5.94 , 5.62 , 4.38 , 3.72 , 5.06 , 2.90 , 1.69 , 1.95 ,-0.10 , 0.40 ,-1.07 ,-1.04 ,-2.65 ,-1.89 , 3.22 , 3.00 , 3.09 
Argentina,ARG,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS, 20.16 , 13.99 , 10.73 , 14.87 , 18.56 , 20.72 , 23.40 , 30.86 , 35.82 , 46.60 , 55.26 , 47.01 , 65.42 , 61.14 , 49.74 , 55.43 , 48.89 , 93.33 , 46.23 , 35.72 , 30.56 , 27.67 , 29.59 , 38.98 , 41.68 , 44.74 , 48.54 , 55.03 , 54.24 , 58.49 , 159.89 , 133.47 , 114.78 , 74.25 , 52.88 , 43.15 , 36.80 , 41.42 , 30.95 , 27.74 , 26.24 , 27.81 , 29.83 , 30.36 , 33.31 , 36.02 , 54.90 , 64.52 , 67.36 , 51.15 
Argentina,ARG,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD," 5,959,891,468.30 "," 6,370,707,750.50 "," 6,881,164,058.10 "," 6,759,795,689.90 "," 7,952,292,884.80 "," 8,533,271,831.30 "," 10,079,657,037.80 "," 14,265,835,027.40 "," 16,939,063,712.90 "," 22,888,128,187.80 "," 27,266,004,262.20 "," 36,021,655,633.20 "," 37,244,139,600.90 "," 42,113,037,698.10 "," 45,537,296,224.10 "," 51,336,262,859.30 "," 49,619,537,776.80 "," 53,913,884,850.70 "," 48,954,009,319.60 "," 49,643,448,833.10 "," 50,115,495,736.20 "," 52,508,998,174.20 "," 63,711,932,023.70 "," 71,287,436,682.00 "," 81,355,478,338.50 "," 90,395,172,332.50 "," 105,106,294,072.90 "," 117,583,670,975.50 "," 116,267,170,540.80 "," 118,269,676,230.80 "," 118,713,099,462.90 "," 125,060,641,035.50 "," 126,865,943,075.40 "," 85,780,082,383.00 "," 90,191,801,800.30 "," 101,114,162,933.00 "," 109,822,308,108.40 "," 111,242,501,671.20 "," 107,118,503,135.50 "," 114,037,744,666.70 "," 111,521,107,118.30 "," 110,422,564,560.70 "," 116,975,977,930.00 "," 114,951,126,758.10 "," 137,906,218,146.70 "," 167,541,812,700.90 "," 179,134,333,668.40 "," 166,744,299,011.10 "," 164,077,576,208.70 "," 154,277,613,797.30 "
Argentina,ARG,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD," 3,461,000,000.00 "," 3,432,000,000.00 "," 3,460,000,000.00 "," 3,457,000,000.00 "," 3,298,000,000.00 "," 3,267,000,000.00 "," 3,102,000,000.00 "," 5,438,800,000.00 "," 6,593,000,000.00 "," 12,166,000,000.00 "," 11,227,000,000.00 "," 10,393,000,000.00 "," 10,340,000,000.00 "," 4,575,000,000.00 "," 4,341,000,000.00 "," 1,853,000,000.00 "," 1,800,000,000.00 "," 1,800,000,000.00 "," 1,800,000,000.00 "," 1,800,000,000.00 "," 2,244,000,000.00 "," 6,369,425,000.00 "," 13,123,172,000.00 "," 16,066,427,000.00 "," 19,068,321,000.00 "," 23,410,631,000.00 "," 27,865,489,000.00 "," 27,319,463,000.00 "," 25,909,346,000.00 "," 31,628,070,000.00 "," 28,479,000,000.00 "," 28,386,742,000.00 "," 23,810,501,000.00 "," 26,360,824,000.00 "," 26,810,522,000.00 "," 30,028,062,000.00 "," 38,898,788,000.00 "," 35,445,519,000.00 "," 37,934,276,170.00 "," 42,499,350,630.00 "," 40,943,426,000.00 "," 40,536,224,000.00 "," 40,703,142,000.00 "," 42,130,407,000.00 "," 31,303,350,000.00 "," 39,295,205,000.00 "," 43,531,058,000.00 "," 45,424,853,000.00 "," 46,042,357,000.00 "," 39,527,173,000.00 "
Argentina,ARG,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD," 2,498,891,468.30 "," 2,938,707,750.50 "," 3,421,164,058.10 "," 3,302,795,689.90 "," 4,654,292,884.80 "," 5,266,271,831.30 "," 6,977,657,037.80 "," 8,827,035,027.40 "," 10,346,063,712.90 "," 10,722,128,187.80 "," 16,039,004,262.20 "," 25,628,655,633.20 "," 26,904,139,600.90 "," 37,538,037,698.10 "," 41,196,296,224.10 "," 49,483,262,859.30 "," 47,819,537,776.80 "," 52,113,884,850.70 "," 47,154,009,319.60 "," 47,843,448,833.10 "," 47,871,495,736.20 "," 46,139,573,174.20 "," 50,588,760,023.70 "," 55,221,009,682.00 "," 62,287,157,338.50 "," 66,984,541,332.50 "," 77,240,805,072.90 "," 90,264,207,975.50 "," 90,357,824,540.80 "," 86,641,606,230.80 "," 90,234,099,462.90 "," 96,673,899,035.50 "," 103,055,442,075.40 "," 59,419,258,383.00 "," 63,381,279,800.30 "," 71,086,100,933.00 "," 70,923,520,108.40 "," 75,796,982,671.20 "," 69,184,226,965.50 "," 71,538,394,036.70 "," 70,577,681,118.30 "," 69,886,340,560.70 "," 76,272,835,930.00 "," 72,820,719,758.10 "," 106,602,868,146.70 "," 128,246,607,700.90 "," 135,603,275,668.40 "," 121,319,446,011.10 "," 118,035,219,208.70 "," 114,750,440,797.30 "
Argentina,ARG,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD," 745,000,000.00 "," 794,000,000.00 "," 839,000,000.00 "," 849,000,000.00 "," 1,020,000,000.00 "," 2,724,000,000.00 "," 3,428,000,000.00 "," 6,911,000,000.00 "," 10,383,400,000.00 "," 12,921,335,000.00 "," 16,521,000,000.00 "," 8,913,443,821.40 "," 10,718,236,231.70 "," 6,731,406,247.90 "," 4,409,872,619.70 "," 3,532,995,273.50 "," 5,717,914,909.50 "," 8,524,665,275.70 "," 10,440,396,127.00 "," 13,545,803,095.60 "," 16,176,291,841.20 "," 8,652,721,196.10 "," 7,170,908,909.80 "," 21,354,822,279.80 "," 23,497,457,471.70 "," 31,988,007,695.30 "," 30,956,044,184.10 "," 29,415,210,000.00 "," 28,325,319,330.30 "," 20,003,921,785.00 "," 14,834,758,132.50 "," 22,386,271,299.80 "," 26,548,725,130.70 "," 35,040,535,349.50 "," 28,250,475,405.50 "," 19,200,772,122.00 "," 19,439,501,013.00 "," 19,285,823,131.60 "," 16,413,011,633.10 "," 25,745,591,622.20 "," 25,251,911,356.00 "," 36,691,602,982.90 "," 33,891,139,953.70 "," 59,434,245,510.80 "," 41,016,686,116.40 "," 55,506,714,368.80 "," 67,770,243,690.10 "," 67,016,026,755.70 "," 42,606,856,610.60 "," 43,973,754,877.20 "
Argentina,ARG,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD, .. , .. , .. , .. , -   ,"-145,000,000.00 ","-273,000,000.00 ","-265,000,000.00 ","-788,000,000.00 ","-944,000,000.00 ","-257,000,000.00 ","-183,000,000.00 ","-268,000,000.00 ","-919,000,000.00 ","-574,000,000.00 "," 19,000,000.00 ","-1,147,000,000.00 ","-1,028,000,000.00 ","-1,836,000,000.00 ","-2,439,000,000.00 ","-3,265,063,223.08 ","-2,088,015,410.10 ","-2,622,087,878.26 ","-4,112,274,403.56 ","-5,347,787,686.65 ","-5,507,454,052.44 ","-4,965,180,132.08 ","-22,257,413,389.64 ","-9,517,286,139.80 ","-2,005,260,142.27 ","-2,776,050,000.00 ","-878,230,000.00 ","-3,448,720,000.00 ","-3,954,190,000.00 ","-3,098,627,065.63 ","-4,968,924,800.78 ","-8,334,618,540.65 ","-3,305,612,521.14 ","-10,367,957,946.04 ","-9,351,930,944.68 ","-14,269,084,338.77 ","-8,931,688,999.43 ","-3,144,794,108.86 ","-10,883,760,783.93 ","-1,473,633,407.03 ","-10,361,231,244.26 ","-9,990,788,246.05 ","-5,126,459,686.19 ","-3,430,171,631.14 ","-5,419,829,173.70 "
Argentina,ARG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS, 0.21 , 0.19 , 0.02 , 0.11 , 0.48 , 0.25 , 0.43 , 0.30 , 0.88 , 1.06 , 0.27 , 0.18 , 0.34 , 1.04 , 0.52 ,-0.02 , 0.91 , 1.34 , 1.30 , 1.29 , 1.94 , 1.18 , 1.41 , 2.17 , 2.55 , 3.13 , 2.44 , 8.46 , 3.67 , 0.81 , 2.20 , 1.29 , 2.51 , 2.65 , 2.38 , 2.25 , 2.69 , 1.21 , 2.68 , 2.04 , 2.81 , 1.78 , 0.96 , 1.98 , 0.58 , 1.79 , 2.23 , 1.49 , 1.22 , 1.39 
Argentina,ARG,"IMF repurchases and charges (TDS, current US$)",DT.TDS.DIMF.CD, -   , -   ," 137,224,250.00 "," 136,270,500.00 "," 92,130,880.00 "," 147,455,306.80 "," 518,548,256.90 ", -   , -   , -   , -   ," 48,990,000.00 "," 1,168,544,228.60 "," 240,295,378.00 "," 1,164,271,286.00 "," 844,061,708.60 "," 760,909,527.80 "," 991,902,311.00 "," 974,576,880.40 "," 1,227,930,612.20 "," 1,076,663,119.00 "," 589,781,730.40 "," 617,768,865.20 "," 758,870,603.70 "," 700,778,084.80 "," 754,858,308.70 "," 920,972,419.00 "," 1,037,741,625.10 "," 1,492,801,396.20 "," 1,606,456,419.10 "," 1,428,182,504.60 "," 6,254,224,210.10 "," 6,068,903,156.40 "," 4,095,472,681.30 "," 9,895,501,186.20 "," 17,206,163.30 "," 4,021,081.20 "," 7,283,631.90 "," 9,954,950.90 "," 3,407,113.40 "," 928,235.60 "," 3,990,831.50 "," 1,534,828.10 "," 1,415,914.10 "," 2,372,829.90 "," 1,497,677.50 "," 158,925,307.60 "," 1,256,386,719.40 "," 1,316,387,169.30 "," 5,130,623,459.40 "
Argentina,ARG,Income share held by fourth 20%,SI.DST.04TH.20, .. , .. , .. , .. , .. , .. , .. , .. , 22.60 , .. , .. , .. , .. , .. , 21.80 , 21.50 , .. , .. , .. , 20.30 , 21.50 , 22.00 , 21.60 , 20.80 , 21.20 , 21.30 , 21.00 , 21.30 , 21.30 , 21.10 , 20.30 , 21.50 , 22.10 , 22.10 , 22.50 , 22.40 , 22.70 , 23.00 , 22.60 , 22.70 , 23.20 , 23.30 , 23.10 , .. , 22.90 , 23.10 , 23.10 , 22.90 , 23.20 , .. 
